show,id
justified,tt1489428
buffy,tt0118276
modern-family,tt1442437
friends,tt0108778
bsg,tt0407362
got,tt0944947
orphan-black,tt2234222
ugly-betty,tt0805669
avatar,tt0417299
dark,tt5753856
americans,tt2149175
angel,tt0162065
fnl,tt0758745
good-place,tt4955642
new-girl,tt1826940
hcf,tt2543312
bojack,tt3398228
ytw,tt3228420
succession,tt7660850
leftovers,tt2699128
breaking-bad,tt0903747
100,tt2661044
supernatural,tt0460681
wire,tt0306414
deadwood,tt0348914
ds9,tt0106145
house,tt0412142
scrubs,tt0285403
thick-of-it,tt0459159
big-bang-theory,tt0898266
futurama,tt0149460
rick-and-morty,tt2861424
project-runway,tt0437741
samurai-jack,tt0278238
office-us,tt0386676
veronica-mars,tt0412253
lost,tt0411008
survivor,tt0239195
simpsons,tt0096697
chuck,tt0934814
letterkenny,tt4647692
wwdits,tt7908628
flash,tt3107288
arrow,tt2193021
heroes,tt0813715
30-rock,tt0496424
six-feet-under,tt0248654
frasier,tt0106004
tng,tt0092455
archer,tt1486217
frisky-dingo,tt0865409
fringe,tt1119644
community,tt1439629
mst3k,tt0094517
arrested-development,tt0367279
doctor-who,tt0436992
